"","V1","V2"
"1",21,-20
"2",36,0
"3",18,-26
"4",16,-22
"5",28,2
"6",36,-5
"7",24,-20
"8",23,-30
"9",35,-3
"10",16,-21
"11",30,-31
"12",27.91,-32.89
"13",31,-29
"14",27,-24
"15",31,-24
"16",30,-25
"17",34,-25
"18",34,-20
"19",31,-19
"20",16,-17
"21",32,-27
"22",15,-15
"23",14,-10
"24",28,-32
"25",34.47,-24.76
"26",23,-15
"27",32,-24
"28",16,-12
"29",30,-23
"30",14,-15
"31",28,-29
"32",28,-20
"33",27,-16
"34",33,-14
"35",22,-12
"36",21,-10
"37",34,-12
"38",15,-7
"39",18,-5
"40",12,-1
"41",18,-6
"42",14,-5
"43",15,-3
"44",20,-6
"45",17,-7
"46",19,-5
"47",20,-4
"48",21,-5
"49",18,-3
"50",18,-5
"51",18,-4
"52",23,-13
"53",18,-12
"54",19,-7
"55",31,-11
"56",28,-18
"57",28,-7
"58",26,-13
"59",31,-15
"60",29,-10
"61",28,-10
"62",34,-12
"63",32,-15
"64",36,-16
"65",35,-13
"66",22,-5
"67",35,-18
"68",40,-11
"69",39,-15
"70",32,9
"71",28,-13
"72",26,-11
"73",36,-13
"74",13,-5
"75",33,-12
"76",41,-2
"77",38,-5
"78",36,-9
"79",35,-1
"80",30,-3
"81",38,-8
"82",32,-10
"83",34,-10
"84",33,-8
"85",31,-7
"86",31,-8
"87",32,2
"88",33,-5
"89",31,-7
"90",34,-3
"91",34,-8
"92",36,-7
"93",36,-5
"94",34,-5
"95",39,-7
"96",38.79,-5.84
"97",39.43,-6.07
"98",37,-3
"99",39,-4
"100",39,-4
"101",40,-3
"102",40,-1
"103",38,-2
"104",35,0
"105",38,-4
"106",39,-4
"107",33,-2
"108",36,-3
"109",37,-1
"110",35,0
"111",35,1
"112",32,-1
"113",33,-3
"114",30,-1
"115",31,0
"116",33,1
"117",32,-4
"118",31,1
"119",31,-3
"120",36,-4
"121",37,-6
"122",38,-6
"123",34,-9
"124",32,1
"125",35,-8
"126",34,1
"127",30,1
"128",30,-2
"129",26,-4
"130",10,4
"131",29,-2
"132",30,-5
"133",28,-2
"134",23,-6
"135",28,-3
"136",25,-6
"137",28,-11
"138",9.27,4.22
"139",18,-2
